"Kod";"Nazwa";"Pojazdy";"Rodzaje paliwa";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"autobusy";"gaz (LPG)";"2018";12;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"autobusy";"gaz (LPG)";"2019";12;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"autobusy";"gaz (LPG)";"2020";13;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"autobusy";"gaz (LPG)";"2021";15;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"autobusy";"gaz (LPG)";"2022";13;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"autobusy";"gaz (LPG)";"2023";;"szt.";"n";
0200000;"DOLNOŚLĄSKIE";"autobusy";"pozostałe";"2018";1060;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"autobusy";"pozostałe";"2019";1075;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"autobusy";"pozostałe";"2020";1130;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"autobusy";"pozostałe";"2021";1152;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"autobusy";"pozostałe";"2022";1169;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"autobusy";"pozostałe";"2023";;"szt.";"n";
0200000;"DOLNOŚLĄSKIE";"ciągniki siodłowe";"benzyna";"2018";79;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"ciągniki siodłowe";"benzyna";"2019";77;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"ciągniki siodłowe";"benzyna";"2020";78;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"ciągniki siodłowe";"benzyna";"2021";77;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"ciągniki siodłowe";"benzyna";"2022";83;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"ciągniki siodłowe";"benzyna";"2023";;"szt.";"n";
0200000;"DOLNOŚLĄSKIE";"ciągniki siodłowe";"olej napędowy";"2018";19466;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"ciągniki siodłowe";"olej napędowy";"2019";20700;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"ciągniki siodłowe";"olej napędowy";"2020";21839;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"ciągniki siodłowe";"olej napędowy";"2021";23152;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"ciągniki siodłowe";"olej napędowy";"2022";24320;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"ciągniki siodłowe";"olej napędowy";"2023";;"szt.";"n";
0200000;"DOLNOŚLĄSKIE";"ciągniki siodłowe";"gaz (LPG)";"2018";14;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"ciągniki siodłowe";"gaz (LPG)";"2019";11;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"ciągniki siodłowe";"gaz (LPG)";"2020";10;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"ciągniki siodłowe";"gaz (LPG)";"2021";12;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"ciągniki siodłowe";"gaz (LPG)";"2022";13;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"ciągniki siodłowe";"gaz (LPG)";"2023";;"szt.";"n";
0200000;"DOLNOŚLĄSKIE";"ciągniki siodłowe";"pozostałe";"2018";1403;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"ciągniki siodłowe";"pozostałe";"2019";1594;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"ciągniki siodłowe";"pozostałe";"2020";1753;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"ciągniki siodłowe";"pozostałe";"2021";1974;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"ciągniki siodłowe";"pozostałe";"2022";1961;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"ciągniki siodłowe";"pozostałe";"2023";;"szt.";"n";
0400000;"KUJAWSKO-POMORSKIE";"samochody osobowe";"benzyna";"2018";653274;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody osobowe";"benzyna";"2019";674823;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody osobowe";"benzyna";"2020";691439;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody osobowe";"benzyna";"2021";710304;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody osobowe";"benzyna";"2022";722844;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody osobowe";"benzyna";"2023";;"szt.";"n";
0400000;"KUJAWSKO-POMORSKIE";"samochody osobowe";"olej napędowy";"2018";364295;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody osobowe";"olej napędowy";"2019";383244;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody osobowe";"olej napędowy";"2020";400065;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody osobowe";"olej napędowy";"2021";414828;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody osobowe";"olej napędowy";"2022";422272;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody osobowe";"olej napędowy";"2023";;"szt.";"n";
0400000;"KUJAWSKO-POMORSKIE";"samochody osobowe";"gaz (LPG)";"2018";207504;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody osobowe";"gaz (LPG)";"2019";210821;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody osobowe";"gaz (LPG)";"2020";214611;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody osobowe";"gaz (LPG)";"2021";216024;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody osobowe";"gaz (LPG)";"2022";217281;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody osobowe";"gaz (LPG)";"2023";;"szt.";"n";
0400000;"KUJAWSKO-POMORSKIE";"samochody osobowe";"pozostałe";"2018";18232;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody osobowe";"pozostałe";"2019";23361;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody osobowe";"pozostałe";"2020";26375;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody osobowe";"pozostałe";"2021";31779;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody osobowe";"pozostałe";"2022";37678;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody osobowe";"pozostałe";"2023";;"szt.";"n";
0400000;"KUJAWSKO-POMORSKIE";"samochody ciężarowe";"benzyna";"2018";33147;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody ciężarowe";"benzyna";"2019";33042;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody ciężarowe";"benzyna";"2020";32730;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody ciężarowe";"benzyna";"2021";32623;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody ciężarowe";"benzyna";"2022";32515;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody ciężarowe";"benzyna";"2023";;"szt.";"n";
0400000;"KUJAWSKO-POMORSKIE";"samochody ciężarowe";"olej napędowy";"2018";113057;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody ciężarowe";"olej napędowy";"2019";116832;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody ciężarowe";"olej napędowy";"2020";121483;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody ciężarowe";"olej napędowy";"2021";126272;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody ciężarowe";"olej napędowy";"2022";129512;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody ciężarowe";"olej napędowy";"2023";;"szt.";"n";
0400000;"KUJAWSKO-POMORSKIE";"samochody ciężarowe";"gaz (LPG)";"2018";7548;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody ciężarowe";"gaz (LPG)";"2019";7495;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody ciężarowe";"gaz (LPG)";"2020";7428;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody ciężarowe";"gaz (LPG)";"2021";7389;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody ciężarowe";"gaz (LPG)";"2022";7336;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody ciężarowe";"gaz (LPG)";"2023";;"szt.";"n";
0400000;"KUJAWSKO-POMORSKIE";"samochody ciężarowe";"pozostałe";"2018";14569;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody ciężarowe";"pozostałe";"2019";15318;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody ciężarowe";"pozostałe";"2020";15413;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody ciężarowe";"pozostałe";"2021";15550;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody ciężarowe";"pozostałe";"2022";15759;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"samochody ciężarowe";"pozostałe";"2023";;"szt.";"n";
0400000;"KUJAWSKO-POMORSKIE";"autobusy";"benzyna";"2018";220;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"autobusy";"benzyna";"2019";220;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"autobusy";"benzyna";"2020";220;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"autobusy";"benzyna";"2021";221;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"autobusy";"benzyna";"2022";221;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"autobusy";"benzyna";"2023";;"szt.";"n";
0400000;"KUJAWSKO-POMORSKIE";"autobusy";"olej napędowy";"2018";4910;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"autobusy";"olej napędowy";"2019";4932;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"autobusy";"olej napędowy";"2020";4897;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"autobusy";"olej napędowy";"2021";4996;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"autobusy";"olej napędowy";"2022";5056;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"autobusy";"olej napędowy";"2023";;"szt.";"n";
0400000;"KUJAWSKO-POMORSKIE";"autobusy";"gaz (LPG)";"2018";6;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"autobusy";"gaz (LPG)";"2019";6;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"autobusy";"gaz (LPG)";"2020";5;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"autobusy";"gaz (LPG)";"2021";5;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"autobusy";"gaz (LPG)";"2022";5;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"autobusy";"gaz (LPG)";"2023";;"szt.";"n";
0400000;"KUJAWSKO-POMORSKIE";"autobusy";"pozostałe";"2018";962;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"autobusy";"pozostałe";"2019";990;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"autobusy";"pozostałe";"2020";991;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"autobusy";"pozostałe";"2021";994;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"autobusy";"pozostałe";"2022";1028;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"autobusy";"pozostałe";"2023";;"szt.";"n";
0400000;"KUJAWSKO-POMORSKIE";"ciągniki siodłowe";"benzyna";"2018";83;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"ciągniki siodłowe";"benzyna";"2019";84;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"ciągniki siodłowe";"benzyna";"2020";83;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"ciągniki siodłowe";"benzyna";"2021";83;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"ciągniki siodłowe";"benzyna";"2022";84;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"ciągniki siodłowe";"benzyna";"2023";;"szt.";"n";
0400000;"KUJAWSKO-POMORSKIE";"ciągniki siodłowe";"olej napędowy";"2018";15724;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"ciągniki siodłowe";"olej napędowy";"2019";16371;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"ciągniki siodłowe";"olej napędowy";"2020";17349;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"ciągniki siodłowe";"olej napędowy";"2021";18496;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"ciągniki siodłowe";"olej napędowy";"2022";19374;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"ciągniki siodłowe";"olej napędowy";"2023";;"szt.";"n";
0400000;"KUJAWSKO-POMORSKIE";"ciągniki siodłowe";"gaz (LPG)";"2018";236;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"ciągniki siodłowe";"gaz (LPG)";"2019";173;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"ciągniki siodłowe";"gaz (LPG)";"2020";168;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"ciągniki siodłowe";"gaz (LPG)";"2021";162;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"ciągniki siodłowe";"gaz (LPG)";"2022";182;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"ciągniki siodłowe";"gaz (LPG)";"2023";;"szt.";"n";
0400000;"KUJAWSKO-POMORSKIE";"ciągniki siodłowe";"pozostałe";"2018";2031;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"ciągniki siodłowe";"pozostałe";"2019";2237;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"ciągniki siodłowe";"pozostałe";"2020";2299;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"ciągniki siodłowe";"pozostałe";"2021";2332;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"ciągniki siodłowe";"pozostałe";"2022";2309;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"ciągniki siodłowe";"pozostałe";"2023";;"szt.";"n";
0600000;"LUBELSKIE";"samochody osobowe";"benzyna";"2018";582063;"szt.";"";
0600000;"LUBELSKIE";"samochody osobowe";"benzyna";"2019";599024;"szt.";"";
0600000;"LUBELSKIE";"samochody osobowe";"benzyna";"2020";614324;"szt.";"";
0600000;"LUBELSKIE";"samochody osobowe";"benzyna";"2021";630884;"szt.";"";
0600000;"LUBELSKIE";"samochody osobowe";"benzyna";"2022";641419;"szt.";"";
0600000;"LUBELSKIE";"samochody osobowe";"benzyna";"2023";;"szt.";"n";
0600000;"LUBELSKIE";"samochody osobowe";"olej napędowy";"2018";421623;"szt.";"";
0600000;"LUBELSKIE";"samochody osobowe";"olej napędowy";"2019";441314;"szt.";"";
0600000;"LUBELSKIE";"samochody osobowe";"olej napędowy";"2020";462603;"szt.";"";
0600000;"LUBELSKIE";"samochody osobowe";"olej napędowy";"2021";482418;"szt.";"";
0600000;"LUBELSKIE";"samochody osobowe";"olej napędowy";"2022";492513;"szt.";"";
0600000;"LUBELSKIE";"samochody osobowe";"olej napędowy";"2023";;"szt.";"n";
0600000;"LUBELSKIE";"samochody osobowe";"gaz (LPG)";"2018";244001;"szt.";"";
0600000;"LUBELSKIE";"samochody osobowe";"gaz (LPG)";"2019";247706;"szt.";"";
0600000;"LUBELSKIE";"samochody osobowe";"gaz (LPG)";"2020";253609;"szt.";"";
0600000;"LUBELSKIE";"samochody osobowe";"gaz (LPG)";"2021";256400;"szt.";"";
0600000;"LUBELSKIE";"samochody osobowe";"gaz (LPG)";"2022";259530;"szt.";"";
0600000;"LUBELSKIE";"samochody osobowe";"gaz (LPG)";"2023";;"szt.";"n";
0600000;"LUBELSKIE";"samochody osobowe";"pozostałe";"2018";8578;"szt.";"";
0600000;"LUBELSKIE";"samochody osobowe";"pozostałe";"2019";16007;"szt.";"";
0600000;"LUBELSKIE";"samochody osobowe";"pozostałe";"2020";18358;"szt.";"";
0600000;"LUBELSKIE";"samochody osobowe";"pozostałe";"2021";23633;"szt.";"";
0600000;"LUBELSKIE";"samochody osobowe";"pozostałe";"2022";30774;"szt.";"";
0600000;"LUBELSKIE";"samochody osobowe";"pozostałe";"2023";;"szt.";"n";
0600000;"LUBELSKIE";"samochody ciężarowe";"benzyna";"2018";34321;"szt.";"";
0600000;"LUBELSKIE";"samochody ciężarowe";"benzyna";"2019";34123;"szt.";"";
0600000;"LUBELSKIE";"samochody ciężarowe";"benzyna";"2020";33967;"szt.";"";
0600000;"LUBELSKIE";"samochody ciężarowe";"benzyna";"2021";33856;"szt.";"";
0600000;"LUBELSKIE";"samochody ciężarowe";"benzyna";"2022";33708;"szt.";"";
0600000;"LUBELSKIE";"samochody ciężarowe";"benzyna";"2023";;"szt.";"n";
0600000;"LUBELSKIE";"samochody ciężarowe";"olej napędowy";"2018";109745;"szt.";"";
0600000;"LUBELSKIE";"samochody ciężarowe";"olej napędowy";"2019";114300;"szt.";"";
0600000;"LUBELSKIE";"samochody ciężarowe";"olej napędowy";"2020";120107;"szt.";"";
0600000;"LUBELSKIE";"samochody ciężarowe";"olej napędowy";"2021";125787;"szt.";"";
0600000;"LUBELSKIE";"samochody ciężarowe";"olej napędowy";"2022";129826;"szt.";"";
0600000;"LUBELSKIE";"samochody ciężarowe";"olej napędowy";"2023";;"szt.";"n";
0600000;"LUBELSKIE";"samochody ciężarowe";"gaz (LPG)";"2018";9035;"szt.";"";
0600000;"LUBELSKIE";"samochody ciężarowe";"gaz (LPG)";"2019";8908;"szt.";"";
0600000;"LUBELSKIE";"samochody ciężarowe";"gaz (LPG)";"2020";8948;"szt.";"";
0600000;"LUBELSKIE";"samochody ciężarowe";"gaz (LPG)";"2021";8862;"szt.";"";
0600000;"LUBELSKIE";"samochody ciężarowe";"gaz (LPG)";"2022";8811;"szt.";"";
0600000;"LUBELSKIE";"samochody ciężarowe";"gaz (LPG)";"2023";;"szt.";"n";
0600000;"LUBELSKIE";"samochody ciężarowe";"pozostałe";"2018";15829;"szt.";"";
0600000;"LUBELSKIE";"samochody ciężarowe";"pozostałe";"2019";16615;"szt.";"";
