"Kod";"Nazwa";"Kierunki inwestowania";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2003";305732,0;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2004";95637,8;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2005";24849,6;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2006";17217,5;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2007";13728,8;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2008";36098,0;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2009";13113,0;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2010";11658,2;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2011";21551,8;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2012";55159,2;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2013";35777,7;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2014";234753,7;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2015";18660,0;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2016";9116,4;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2017";24707,5;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2018";30749,0;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2019";26867,5;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2020";35099,5;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2021";37248,0;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2022";0,0;"tys. zł";"x";
