Rok;Województwo;Kod strefy;Nazwa strefy;Kod stacji;Wska?nik;Czas u?redniania;?rednia;Min;Max;L. dni > 120 (S8max);26 maks (S8max);Per. S93.2 (S8max);AOT40 V-VII;SOMO35;Liczba pomiarów;Kompl. lato;Kompl. zima;Liczba kompletnych mies. letnich (IV-IX);Kompletno??;Liczba Lato/Zima
(-);(-);(-);(-);(-);(-);(-);[µg/m3];[µg/m3];[µg/m3];(-);[µg/m3];[µg/m3];[µg/m3]*h;[µg/m3]*d;(-);[%];[%];(-);[%];(-)
2015;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpKoniczynka;O3;1g;52,6;0,0;176,3;23;115,8;119,6;14 585;5 100;8 308;97,0;92,0;6;94,8;1,1
2015;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpZielBoryTu;O3;1g;54,3;0,4;177,7;21;112,9;114,7;9 884;4 643;8 362;96,0;95,0;4;95,5;1,0
2015;lubelskie;PL0601;Aglomeracja Lubelska;LbLubObywate;O3;1g;45,1;0,0;178,7;19;115,2;116,3;11 851;3 818;8 512;95,0;99,0;4;97,2;1,0
2015;lubelskie;PL0602;strefa lubelska;LbBiaPodOrze;O3;1g;53,3;0,8;180,5;36;124,8;125,0;21 382;5 385;8 472;98,0;96,0;6;96,7;1,0
2015;lubelskie;PL0602;strefa lubelska;LbBiaSlupRPN;O3;1g;56,4;0,4;158,2;30;125,7;126,5;17 678;5 546;7 990;90,0;92,0;5;91,2;1,0
2015;lubelskie;PL0602;strefa lubelska;LbJarczWolaM;O3;1g;51,6;0,0;162,8;15;110,3;110,3;9 070;3 872;8 747;100,0;100,0;6;99,9;1,0
2015;lubelskie;PL0602;strefa lubelska;LbWilczopole;O3;1g;51,0;1,4;178,4;15;109,9;109,9;10 284;3 690;8 594;98,0;98,0;6;98,1;1,0
2015;lubuskie;PL0801;miasto Gorzów Wielkopolski;LuGorzKosGdy;O3;1g;42,0;0,1;166,7;13;100,9;103,6;5 339;2 842;8 323;90,0;100,0;4;95,0;0,9
2015;lubuskie;PL0802;miasto Zielona Góra;LuZielKrotka;O3;1g;58,6;0,1;186,8;31;127,5;127,9;16 212;5 601;8 564;96,0;99,0;4;97,8;1,0
2015;lubuskie;PL0803;strefa lubuska;LuSmolBytnic;O3;1g;50,7;0,0;194,0;31;130,2;130,4;17 370;5 759;8 590;98,0;98,0;6;98,1;1,0
2015;lubuskie;PL0803;strefa lubuska;LuSulecDudka;O3;1g;54,0;0,0;180,5;26;121,0;122,5;13 191;5 414;8 494;94,0;100,0;5;97,0;1,0
