"Kod";"Nazwa";"Przystanki";"Wyszczególnienie";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0400000;"KUJAWSKO-POMORSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2019";16;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2020";16;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2021";18;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2022";24;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2023";;"szt.";"n";
0600000;"LUBELSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2018";11846;"szt.";"";
0600000;"LUBELSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2019";12168;"szt.";"";
0600000;"LUBELSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2020";12381;"szt.";"";
0600000;"LUBELSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2021";12610;"szt.";"";
0600000;"LUBELSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2022";12773;"szt.";"";
0600000;"LUBELSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2023";;"szt.";"n";
0600000;"LUBELSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2018";11846;"szt.";"";
0600000;"LUBELSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2019";12168;"szt.";"";
0600000;"LUBELSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2020";12381;"szt.";"";
0600000;"LUBELSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2021";12610;"szt.";"";
0600000;"LUBELSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2022";12773;"szt.";"";
0600000;"LUBELSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2023";;"szt.";"n";
0600000;"LUBELSKIE";"przystanki tramwajowe";"ogółem";"2018";0;"szt.";"";
0600000;"LUBELSKIE";"przystanki tramwajowe";"ogółem";"2019";0;"szt.";"";
0600000;"LUBELSKIE";"przystanki tramwajowe";"ogółem";"2020";0;"szt.";"";
0600000;"LUBELSKIE";"przystanki tramwajowe";"ogółem";"2021";0;"szt.";"";
0600000;"LUBELSKIE";"przystanki tramwajowe";"ogółem";"2022";0;"szt.";"";
0600000;"LUBELSKIE";"przystanki tramwajowe";"ogółem";"2023";;"szt.";"n";
0600000;"LUBELSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2018";0;"szt.";"";
0600000;"LUBELSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2019";0;"szt.";"";
0600000;"LUBELSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2020";0;"szt.";"";
0600000;"LUBELSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2021";0;"szt.";"";
0600000;"LUBELSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2022";0;"szt.";"";
0600000;"LUBELSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2023";;"szt.";"n";
0800000;"LUBUSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2018";3432;"szt.";"";
0800000;"LUBUSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2019";3531;"szt.";"";
0800000;"LUBUSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2020";3568;"szt.";"";
0800000;"LUBUSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2021";3541;"szt.";"";
0800000;"LUBUSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2022";3626;"szt.";"";
0800000;"LUBUSKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2023";;"szt.";"n";
0800000;"LUBUSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2018";3432;"szt.";"";
0800000;"LUBUSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2019";3531;"szt.";"";
0800000;"LUBUSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2020";3568;"szt.";"";
0800000;"LUBUSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2021";3498;"szt.";"";
0800000;"LUBUSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2022";3564;"szt.";"";
0800000;"LUBUSKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2023";;"szt.";"n";
0800000;"LUBUSKIE";"przystanki tramwajowe";"ogółem";"2018";0;"szt.";"";
0800000;"LUBUSKIE";"przystanki tramwajowe";"ogółem";"2019";0;"szt.";"";
0800000;"LUBUSKIE";"przystanki tramwajowe";"ogółem";"2020";0;"szt.";"";
0800000;"LUBUSKIE";"przystanki tramwajowe";"ogółem";"2021";43;"szt.";"";
0800000;"LUBUSKIE";"przystanki tramwajowe";"ogółem";"2022";62;"szt.";"";
0800000;"LUBUSKIE";"przystanki tramwajowe";"ogółem";"2023";;"szt.";"n";
0800000;"LUBUSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2018";0;"szt.";"";
0800000;"LUBUSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2019";0;"szt.";"";
0800000;"LUBUSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2020";0;"szt.";"";
0800000;"LUBUSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2021";0;"szt.";"";
0800000;"LUBUSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2022";0;"szt.";"";
0800000;"LUBUSKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2023";;"szt.";"n";
1000000;"ŁÓDZKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2018";11179;"szt.";"";
1000000;"ŁÓDZKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2019";11680;"szt.";"";
1000000;"ŁÓDZKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2020";11957;"szt.";"";
1000000;"ŁÓDZKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2021";11964;"szt.";"";
1000000;"ŁÓDZKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2022";12270;"szt.";"";
1000000;"ŁÓDZKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2023";;"szt.";"n";
1000000;"ŁÓDZKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2018";10657;"szt.";"";
1000000;"ŁÓDZKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2019";11186;"szt.";"";
1000000;"ŁÓDZKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2020";11470;"szt.";"";
1000000;"ŁÓDZKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2021";11495;"szt.";"";
1000000;"ŁÓDZKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2022";11789;"szt.";"";
1000000;"ŁÓDZKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2023";;"szt.";"n";
1000000;"ŁÓDZKIE";"przystanki tramwajowe";"ogółem";"2018";522;"szt.";"";
1000000;"ŁÓDZKIE";"przystanki tramwajowe";"ogółem";"2019";494;"szt.";"";
1000000;"ŁÓDZKIE";"przystanki tramwajowe";"ogółem";"2020";487;"szt.";"";
1000000;"ŁÓDZKIE";"przystanki tramwajowe";"ogółem";"2021";469;"szt.";"";
1000000;"ŁÓDZKIE";"przystanki tramwajowe";"ogółem";"2022";481;"szt.";"";
1000000;"ŁÓDZKIE";"przystanki tramwajowe";"ogółem";"2023";;"szt.";"n";
1000000;"ŁÓDZKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2018";87;"szt.";"";
1000000;"ŁÓDZKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2019";64;"szt.";"";
1000000;"ŁÓDZKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2020";67;"szt.";"";
1000000;"ŁÓDZKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2021";78;"szt.";"";
1000000;"ŁÓDZKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2022";113;"szt.";"";
