"Kod";"Nazwa";"Rodzaje zanieczyszczeń";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"ogółem (bez dwutlenku węgla)";"2003";86601;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem (bez dwutlenku węgla)";"2004";91390;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem (bez dwutlenku węgla)";"2005";107377;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem (bez dwutlenku węgla)";"2006";109027;"t/r";"M";
0200000;"DOLNOŚLĄSKIE";"ogółem (bez dwutlenku węgla)";"2007";98512;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem (bez dwutlenku węgla)";"2008";87942;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem (bez dwutlenku węgla)";"2009";85392;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem (bez dwutlenku węgla)";"2010";82856;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem (bez dwutlenku węgla)";"2011";75821;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem (bez dwutlenku węgla)";"2012";76516;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem (bez dwutlenku węgla)";"2013";63509;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem (bez dwutlenku węgla)";"2014";48501;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem (bez dwutlenku węgla)";"2015";44861;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem (bez dwutlenku węgla)";"2016";40287;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem (bez dwutlenku węgla)";"2017";31934;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem (bez dwutlenku węgla)";"2018";29350;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem (bez dwutlenku węgla)";"2019";25786;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem (bez dwutlenku węgla)";"2020";24415;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem (bez dwutlenku węgla)";"2021";29723;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"ogółem (bez dwutlenku węgla)";"2022";30670;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek węgla";"1996";;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek węgla";"1997";;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek węgla";"1998";14600500;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek węgla";"1999";14249156;"t/r";"M";
0200000;"DOLNOŚLĄSKIE";"dwutlenek węgla";"2000";14955329;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek węgla";"2001";14508184;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek węgla";"2002";13283996;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek węgla";"2003";14288474;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek węgla";"2004";16559118;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek węgla";"2005";17941373;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek węgla";"2006";17440418;"t/r";"M";
0200000;"DOLNOŚLĄSKIE";"dwutlenek węgla";"2007";16578598;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek węgla";"2008";16870678;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek węgla";"2009";15381247;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek węgla";"2010";16260865;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek węgla";"2011";15866406;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek węgla";"2012";15963062;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek węgla";"2013";15222847;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek węgla";"2014";13430685;"t/r";"";
0200000;"DOLNOŚLĄSKIE";"dwutlenek węgla";"2015";12789373;"t/r";"";
