"Kod";"Nazwa";"Rodzaje źródeł";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne";"2005";196,5;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne";"2006";180,6;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne";"2007";206,0;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne";"2008";196,3;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne";"2009";208,8;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne";"2010";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne";"2011";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne";"2012";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne";"2013";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne";"2014";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne";"2015";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne";"2016";217,0;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne";"2017";236,4;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne";"2018";151,8;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne";"2019";188,5;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne";"2020";200,3;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne";"2021";227,6;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne";"2022";187,9;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie wodne";"2023";;"GWh";"n";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne ogółem";"2000";12340,5;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne ogółem";"2001";12125,1;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne ogółem";"2002";11078,0;"GWh";"";
