Rok;Województwo;Kod strefy;Nazwa strefy;Kod stacji;Wska?nik;Czas u?redniania;?rednia;Min;Maks;Liczba pomiarów;Kompletno?? ;Liczba Lato/Zima
(-);(-);(-);(-);(-);(-);(-);[µg/m3];[µg/m3];[µg/m3];(-);[%];(-)
2020;kujawsko-pomorskie;PL0403;miasto W?oc?awek;KpWloclOkrze;PM2.5;1g;19,0;3,2;180,0;8559;97,4;1,1
2020;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpChelmLunawMOB;PM2.5;1g;14,5;1,9;134,9;8571;97,6;1,1
2020;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpChelmLunawMOB;PM2.5;24g;14,6;1,4;64,0;358;97,8;1,1
2020;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpGrudSienki;PM2.5;24g;16,1;3,3;63,9;349;95,4;1,1
2020;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpZielBoryTu;PM2.5;24g;8,6;1,0;30,7;360;98,4;1,0
2020;lubelskie;PL0601;Aglomeracja Lubelska;LbLubObywate;PM2.5;1g;18,7;0,2;163,8;8764;99,8;1,0
2020;lubelskie;PL0601;Aglomeracja Lubelska;LbLubSliwins;PM2.5;24g;15,2;3,7;71,0;366;100,0;1,0
2020;lubelskie;PL0602;strefa lubelska;LbBiaPodOrze;PM2.5;24g;19,8;4,0;108,0;348;95,1;1,1
2020;lubelskie;PL0602;strefa lubelska;LbChelPolan;PM2.5;24g;17,1;3,3;76,3;366;100,0;1,0
2020;lubelskie;PL0602;strefa lubelska;LbKrasnobrod;PM2.5;1g;12,4;0,3;205,9;8374;95,3;1,1
2020;lubelskie;PL0602;strefa lubelska;LbZamoHrubie;PM2.5;1g;15,5;0,4;222,0;8538;97,2;1,1
2020;lubelskie;PL0602;strefa lubelska;LbZamoHrubie;PM2.5;24g;17,5;3,3;74,2;366;100,0;1,0
2020;lubuskie;PL0801;miasto Gorzów Wielkopolski;LuGorzKosGdy;PM2.5;1g;14,0;0,5;160,9;8441;96,1;0,9
2020;lubuskie;PL0801;miasto Gorzów Wielkopolski;LuGorzPilsud;PM2.5;24g;13,9;3,9;49,8;366;100,0;1,0
2020;lubuskie;PL0802;miasto Zielona Góra;LuZielKrotka;PM2.5;1g;10,2;0,2;79,7;8155;92,8;0,9
2020;lubuskie;PL0802;miasto Zielona Góra;LuZielKrotka;PM2.5;24g;10,7;2,6;50,4;353;96,4;0,9
2020;lubuskie;PL0803;strefa lubuska;LuSwiebodMOB;PM2.5;1g;16,1;1,2;235,8;6842;77,9;1,8
2020;lubuskie;PL0803;strefa lubuska;LuWsKaziWiel;PM2.5;1g;19,1;1,2;276,6;6858;78,1;0,9
2020;lubuskie;PL0803;strefa lubuska;LuWsKaziWiel;PM2.5;24g;18,3;4,1;65,5;315;86,1;0,9
2020;lubuskie;PL0803;strefa lubuska;LuZarySzyman;PM2.5;1g;13,0;0,1;118,3;8675;98,8;1,0
2020;lubuskie;PL0803;strefa lubuska;LuZarySzyman;PM2.5;24g;13,0;2,7;63,5;366;100,0;1,0
2020;?ódzkie;PL1001;Aglomeracja ?ódzka;LdLodzCzerni;PM2.5;1g;15,3;1,0;85,0;8671;98,7;1,0
2020;?ódzkie;PL1001;Aglomeracja ?ódzka;LdLodzCzerni;PM2.5;24g;15,6;2,0;48,3;360;98,4;1,0
2020;?ódzkie;PL1001;Aglomeracja ?ódzka;LdLodzLegion;PM2.5;24g;19,3;2,1;62,0;362;98,9;1,0
2020;?ódzkie;PL1001;Aglomeracja ?ódzka;LdZgieMielcz;PM2.5;1g;23,3;1,0;364,3;8328;94,8;1,0
2020;?ódzkie;PL1002;strefa ?ódzka;LdKutn1Maja7MOB;PM2.5;1g;17,6;1,0;181,0;8594;97,8;1,0
2020;?ódzkie;PL1002;strefa ?ódzka;LdPioTrKraPr;PM2.5;24g;21,3;2,5;81,5;365;99,7;1,0
2020;?ódzkie;PL1002;strefa ?ódzka;LdRadomsRoln;PM2.5;1g;23,6;1,0;271,0;8429;96,0;1,0
2020;ma?opolskie;PL1201;Aglomeracja Krakowska;MpKrakAlKras;PM2.5;1g;23,9;3,0;226,1;8438;96,1;1,0
2020;ma?opolskie;PL1201;Aglomeracja Krakowska;MpKrakBulwar;PM2.5;1g;20,7;3,0;154,5;8469;96,4;1,0
2020;ma?opolskie;PL1201;Aglomeracja Krakowska;MpKrakOsPias;PM2.5;24g;20,8;5,3;81,6;365;99,7;1,0
2020;ma?opolskie;PL1202;miasto Tarnów;MpTarBitStud;PM2.5;24g;17,5;3,8;87,2;356;97,3;1,0
2020;ma?opolskie;PL1202;miasto Tarnów;MpTarRoSitko;PM2.5;1g;20,3;3,0;228,6;8674;98,7;1,0
2020;ma?opolskie;PL1203;strefa ma?opolska;MpBochKonfed;PM2.5;24g;21,2;5,2;115,4;363;99,2;1,0
2020;ma?opolskie;PL1203;strefa ma?opolska;MpNoSaczNadb;PM2.5;24g;26,8;5,1;113,6;358;97,8;1,0
2020;ma?opolskie;PL1203;strefa ma?opolska;MpTrzebOsZWM;PM2.5;24g;18,0;3,2;58,9;355;97,0;1,0
2020;ma?opolskie;PL1203;strefa ma?opolska;MpZakopaSien;PM2.5;24g;20,5;3,1;119,1;363;99,2;1,0
2020;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarAlNiepo;PM2.5;1g;18,1;0,4;104,9;8576;97,6;1,0
2020;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarBajkowa;PM2.5;1g;18,3;0,4;141,5;8435;96,0;1,1
2020;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarChrosci;PM2.5;1g;17,0;0,0;130,7;8769;99,8;1,0
2020;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarKondrat;PM2.5;24g;15,4;3,8;74,8;341;93,2;1,0
2020;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarTolstoj;PM2.5;1g;15,1;0,4;114,3;8401;95,6;1,1
2020;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarWokalna;PM2.5;1g;14,1;0,3;91,2;8504;96,8;1,0
2020;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarWokalna;PM2.5;24g;14,0;2,5;59,3;359;98,1;1,0
2020;mazowieckie;PL1402;miasto P?ock;MzPlocKroJad;PM2.5;24g;15,3;2,9;61,7;341;93,2;1,0
2020;mazowieckie;PL1402;miasto P?ock;MzPlocMiReja;PM2.5;1g;15,3;0,0;83,8;8712;99,2;1,0
2020;mazowieckie;PL1403;miasto Radom;MzRadHallera;PM2.5;24g;17,6;3,8;82,2;361;98,6;1,0
2020;mazowieckie;PL1403;miasto Radom;MzRadTochter;PM2.5;1g;18,6;0,3;190,2;8688;98,9;1,0
2020;mazowieckie;PL1404;strefa mazowiecka;MzGutyDuCzer;PM2.5;1g;12,9;2,7;93,7;7610;86,6;1,4
2020;mazowieckie;PL1404;strefa mazowiecka;MzKonJezMos;PM2.5;1g;16,4;1,8;118,7;8408;95,7;0,9
2020;mazowieckie;PL1404;strefa mazowiecka;MzLegZegrzyn;PM2.5;1g;17,9;0,4;174,5;8507;96,8;1,1
2020;mazowieckie;PL1404;strefa mazowiecka;MzMinMazKaziMOB;PM2.5;1g;19,3;2,5;282,5;8684;98,9;1,0
2020;mazowieckie;PL1404;strefa mazowiecka;MzOtwoBrzozo;PM2.5;1g;20,6;0,2;251,5;8459;96,3;1,0
2020;mazowieckie;PL1404;strefa mazowiecka;MzPiasPulask;PM2.5;1g;16,6;0,3;169,5;8559;97,4;1,1
2020;mazowieckie;PL1404;strefa mazowiecka;MzSiedKonars;PM2.5;1g;18,2;0,0;232,9;8753;99,6;1,0
2020;mazowieckie;PL1404;strefa mazowiecka;MzZyraRoosev;PM2.5;1g;16,7;1,1;209,4;8466;96,4;1,0
2020;opolskie;PL1601;miasto Opole;OpOpoleKoszy;PM2.5;1g;15,7;0,4;172,3;8754;99,7;1,0
2020;opolskie;PL1601;miasto Opole;OpOpoleOsAKr;PM2.5;24g;17,2;2,5;77,0;366;100,0;1,0
2020;opolskie;PL1602;strefa opolska;OpKKozBSmial;PM2.5;1g;16,3;0,6;128,1;7828;89,1;1,2
2020;opolskie;PL1602;strefa opolska;OpKKozBSmial;PM2.5;24g;17,8;2,5;119,0;361;98,6;1,0
2020;opolskie;PL1602;strefa opolska;OpKluczMicki;PM2.5;24g;17,5;2,5;60,0;364;99,5;1,0
2020;opolskie;PL1602;strefa opolska;OpNysaRodzie;PM2.5;24g;20,9;2,5;166,0;360;98,4;1,0
2020;opolskie;PL1602;strefa opolska;OpStrzOpWysz;PM2.5;1g;14,5;0,5;149,4;8240;93,8;1,1
2020;podkarpackie;PL1801;miasto Rzeszów;PkRzeszPilsu;PM2.5;1g;20,6;0,0;154,4;8328;94,8;0,9
2020;podkarpackie;PL1801;miasto Rzeszów;PkRzeszRejta;PM2.5;24g;13,7;2,4;56,2;348;95,1;1,0
2020;podkarpackie;PL1802;strefa podkarpacka;PkDebiGrottg;PM2.5;1g;21,9;0,1;241,7;7996;91,0;1,1
2020;podkarpackie;PL1802;strefa podkarpacka;PkJarosPruch;PM2.5;1g;18,5;0,2;228,8;8542;97,2;1,0
2020;podkarpackie;PL1802;strefa podkarpacka;PkJasloSikor;PM2.5;1g;12,8;0,1;127,6;8672;98,7;1,0
2020;podkarpackie;PL1802;strefa podkarpacka;PkKrosKletow;PM2.5;24g;14,6;1,7;55,7;339;92,6;1,2
2020;podkarpackie;PL1802;strefa podkarpacka;PkMielBierna;PM2.5;1g;18,1;1,3;183,2;8596;97,9;1,0
2020;podkarpackie;PL1802;strefa podkarpacka;PkNiskoSzkla;PM2.5;1g;18,2;2,2;232,5;8760;99,7;1,0
2020;podkarpackie;PL1802;strefa podkarpacka;PkPolanZdrojMOB;PM2.5;1g;8,8;0,5;59,2;8162;92,9;1,1
2020;podkarpackie;PL1802;strefa podkarpacka;PkPrzemGrunw;PM2.5;1g;17,0;0,1;133,4;8586;97,7;1,0
2020;podkarpackie;PL1802;strefa podkarpacka;PkRymZdrPark;PM2.5;1g;9,0;0,4;75,3;7830;89,1;1,2
2020;podlaskie;PL2001;Aglomeracja Bia?ostocka;PdBialWarsza;PM2.5;24g;15,0;3,0;68,6;364;99,5;1,0
2020;podlaskie;PL2001;Aglomeracja Bia?ostocka;PdBialWaszyn;PM2.5;1g;13,5;0,0;151,0;8037;91,5;0,9
2020;podlaskie;PL2002;strefa podlaska;PdAugustowUm;PM2.5;1g;17,6;0,2;281,6;8207;93,4;0,9
2020;podlaskie;PL2002;strefa podlaska;PdBorsukowiz;PM2.5;1g;8,3;0,0;88,8;8663;98,6;1,0
2020;podlaskie;PL2002;strefa podlaska;PdGrajewoWPoMOB;PM2.5;1g;16,7;0,4;361,3;8731;99,4;1,0
2020;podlaskie;PL2002;strefa podlaska;PdLomSikorsk;PM2.5;24g;22,4;3,8;89,9;360;98,4;1,0
2020;podlaskie;PL2002;strefa podlaska;PdSuwPulaskp;PM2.5;1g;10,4;0,0;114,4;8684;98,9;1,0
2020;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaLeczk08;PM2.5;1g;14,6;2,1;86,4;8762;99,7;1,0
2020;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaPowWiel;PM2.5;24g;10,4;1,0;61,0;366;100,0;1,0
2020;pomorskie;PL2202;strefa pomorska;PmKosTargo12;PM2.5;1g;17,5;0,9;264,9;8655;98,5;1,0
2020;pomorskie;PL2202;strefa pomorska;PmKosTargo12;PM2.5;24g;14,0;2,0;67,0;339;92,6;1,1
2020;?l?skie;PL2401;Aglomeracja Górno?l?ska;SlGliwicMewy;PM2.5;24g;22,1;4,2;115,7;358;97,8;1,0
2020;?l?skie;PL2401;Aglomeracja Górno?l?ska;SlKatoKossut;PM2.5;1g;20,2;1,4;189,4;8780;100,0;1,0
2020;?l?skie;PL2401;Aglomeracja Górno?l?ska;SlKatoKossut;PM2.5;24g;20,2;5,7;84,9;365;99,7;1,0
2020;?l?skie;PL2401;Aglomeracja Górno?l?ska;SlKatoPlebA4;PM2.5;1g;23,3;4,8;197,8;8727;99,4;1,0
2020;?l?skie;PL2401;Aglomeracja Górno?l?ska;SlKatoPlebA4;PM2.5;24g;23,4;5,7;86,2;356;97,3;1,0
2020;?l?skie;PL2402;Aglomeracja Rybnicko-Jastrz?bska;SlZorySikor2;PM2.5;24g;22,1;3,3;100,7;358;97,8;1,0
2020;?l?skie;PL2403;miasto Bielsko-Bia?a;SlBielPartyz;PM2.5;1g;24,8;2,4;293,1;8734;99,4;1,0
2020;?l?skie;PL2403;miasto Bielsko-Bia?a;SlBielSterni;PM2.5;24g;20,7;4,2;135,5;340;92,9;0,9
2020;?l?skie;PL2404;miasto Cz?stochowa;SlCzestoZana;PM2.5;24g;17,7;2,2;80,7;366;100,0;1,0
2020;?l?skie;PL2405;strefa ?l?ska;SlGoczaUzdroMOB;PM2.5;1g;29,9;0,6;586,9;8502;96,8;1,0
2020;?l?skie;PL2405;strefa ?l?ska;SlGodGliniki;PM2.5;24g;26,5;3,5;136,3;281;76,8;1,0
2020;?l?skie;PL2405;strefa ?l?ska;SlRaciborzWPMOB;PM2.5;1g;24,9;2,1;281,1;8779;99,9;1,0
2020;?l?skie;PL2405;strefa ?l?ska;SlTarnoLitew;PM2.5;24g;19,6;2,7;79,2;366;100,0;1,0
2020;?l?skie;PL2405;strefa ?l?ska;SlZlotPotLes;PM2.5;1g;15,2;1,0;97,0;8680;98,8;1,0
2020;?wi?tokrzyskie;PL2601;miasto Kielce;SkKielTargow;PM2.5;1g;16,5;0,5;267,2;8726;99,3;1,0
2020;?wi?tokrzyskie;PL2601;miasto Kielce;SkKielTargow;PM2.5;24g;19,7;2,8;101,4;364;99,5;1,0
2020;?wi?tokrzyskie;PL2601;miasto Kielce;SkKielWarsza;PM2.5;24g;16,9;2,8;89,0;357;97,5;1,0
2020;?wi?tokrzyskie;PL2602;strefa ?wi?tokrzyska;SkBuskRokosz;PM2.5;24g;18,7;5,2;89,6;362;98,9;1,0
2020;?wi?tokrzyskie;PL2602;strefa ?wi?tokrzyska;SkOstrOsSlonMOB;PM2.5;1g;17,4;0,3;199,1;8666;98,7;1,0
2020;?wi?tokrzyskie;PL2602;strefa ?wi?tokrzyska;SkOstrOsSlonMOB;PM2.5;24g;19,5;4,2;89,9;358;97,8;1,0
2020;?wi?tokrzyskie;PL2602;strefa ?wi?tokrzyska;SkStaraZlota;PM2.5;1g;18,0;0,4;383,2;8773;99,9;1,0
2020;?wi?tokrzyskie;PL2602;strefa ?wi?tokrzyska;SkStaraZlota;PM2.5;24g;18,6;1,1;71,4;334;91,3;0,9
2020;warmi?sko-mazurskie;PL2801;miasto Olsztyn;WmOlsPuszkin;PM2.5;1g;14,0;0,6;110,2;8570;97,6;1,0
2020;warmi?sko-mazurskie;PL2801;miasto Olsztyn;WmOlsPuszkin;PM2.5;24g;13,2;3,1;54,3;363;99,2;1,0
2020;warmi?sko-mazurskie;PL2802;miasto Elbl?g;WmElbBazynsk;PM2.5;1g;12,1;2,2;63,5;8561;97,5;1,0
2020;warmi?sko-mazurskie;PL2802;miasto Elbl?g;WmElbBazynsk;PM2.5;24g;13,3;3,3;51,1;355;97,0;0,9
2020;warmi?sko-mazurskie;PL2803;strefa warmi?sko-mazurska;WmBiskupMickMOB;PM2.5;1g;16,1;0,9;180,7;8715;99,2;1,0
2020;warmi?sko-mazurskie;PL2803;strefa warmi?sko-mazurska;WmOstrPilsud;PM2.5;24g;14,0;1,7;47,9;358;97,8;1,0
2020;warmi?sko-mazurskie;PL2803;strefa warmi?sko-mazurska;WmPuszczaBor;PM2.5;24g;9,1;2,1;37,1;353;96,4;1,1
2020;wielkopolskie;PL3001;Aglomeracja Pozna?ska;WpPoznDabrow;PM2.5;1g;16,1;0,7;123,0;7854;89,4;1,3
2020;wielkopolskie;PL3001;Aglomeracja Pozna?ska;WpPoznDabrow;PM2.5;24g;16,1;3,6;60,1;364;99,5;1,0
2020;wielkopolskie;PL3001;Aglomeracja Pozna?ska;WpPoznRatajeMOB;PM2.5;1g;16,3;0,8;111,2;8764;99,8;1,0
2020;wielkopolskie;PL3002;miasto Kalisz;WpKaliSawick;PM2.5;1g;18,9;0,6;202,2;8670;98,7;1,0
2020;wielkopolskie;PL3002;miasto Kalisz;WpKaliSawick;PM2.5;24g;19,1;5,8;79,3;365;99,7;1,0
2020;wielkopolskie;PL3003;strefa wielkopolska;WpPleszAlMic;PM2.5;24g;20,6;4,8;77,4;366;100,0;1,0
2020;zachodniopomorskie;PL3201;Aglomeracja Szczeci?ska;ZpSzczAndr01;PM2.5;1g;11,7;1,1;79,4;8664;98,6;1,0
2020;zachodniopomorskie;PL3201;Aglomeracja Szczeci?ska;ZpSzczAndr01;PM2.5;24g;11,4;2,5;46,5;366;100,0;1,0
2020;zachodniopomorskie;PL3201;Aglomeracja Szczeci?ska;ZpSzczPils02;PM2.5;1g;14,4;0,8;147,5;8579;97,7;1,0
2020;zachodniopomorskie;PL3202;miasto Koszalin;ZpKoszSpasow;PM2.5;24g;10,8;1,8;44,3;366;100,0;1,0
2020;zachodniopomorskie;PL3203;strefa zachodniopomorska;ZpMyslZaBram;PM2.5;24g;14,3;2,9;57,3;366;100,0;1,0
2020;zachodniopomorskie;PL3203;strefa zachodniopomorska;ZpPolczSolanMOB;PM2.5;1g;9,0;0,2;94,7;8547;97,3;1,1
2020;zachodniopomorskie;PL3203;strefa zachodniopomorska;ZpSzczec1Maj;PM2.5;24g;9,8;2,5;48,9;359;98,1;1,0
2021;dolno?l?skie;PL0201;Aglomeracja Wroc?awska;DsWrocAlWisn;PM2.5;1g;21,0;0,7;121,0;8663;98,9;1,0
2021;dolno?l?skie;PL0201;Aglomeracja Wroc?awska;DsWrocNaGrob;PM2.5;24g;17,2;2,6;80,8;363;99,5;1,0
2021;dolno?l?skie;PL0201;Aglomeracja Wroc?awska;DsWrocWybCon;PM2.5;1g;18,2;3,1;146,4;8731;99,7;1,0
2021;dolno?l?skie;PL0202;miasto Legnica;DsLegPolarna;PM2.5;24g;17,7;3,9;98,6;364;99,7;1,0
2021;dolno?l?skie;PL0203;miasto Wa?brzych;DsWalbrzWyso;PM2.5;24g;16,6;2,9;104,1;363;99,5;1,0
2021;dolno?l?skie;PL0204;strefa dolno?l?ska;DsJelGorOgin;PM2.5;1g;20,0;0,6;238,1;8739;99,8;1,0
2021;dolno?l?skie;PL0204;strefa dolno?l?ska;DsKlodzSzkol;PM2.5;1g;27,6;0,6;369,8;8563;97,8;1,0
2021;dolno?l?skie;PL0204;strefa dolno?l?ska;DsMiliczMOB;PM2.5;1g;20,8;0,4;176,5;8009;91,4;0,9
2021;dolno?l?skie;PL0204;strefa dolno?l?ska;DsOsieczow21;PM2.5;24g;12,3;2,1;71,2;358;98,1;1,0
2021;dolno?l?skie;PL0204;strefa dolno?l?ska;DsSrodaSlMOB;PM2.5;1g;23,2;2,6;162,4;8746;99,8;1,0
2021;dolno?l?skie;PL0204;strefa dolno?l?ska;DsZgorBohGet;PM2.5;24g;15,6;3,8;65,6;357;97,8;1,1
2021;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydFieldor;PM2.5;24g;12,9;1,7;81,4;365;100,0;1,0
2021;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydPlPozna;PM2.5;1g;16,1;1,0;182,9;7997;91,3;1,0
2021;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydWarszaw;PM2.5;1g;15,7;1,0;178,2;8546;97,6;1,0
2021;kujawsko-pomorskie;PL0402;miasto Toru?;KpToruDziewu;PM2.5;24g;16,3;1,1;97,8;362;99,2;1,0
2021;kujawsko-pomorskie;PL0402;miasto Toru?;KpToruKaszow;PM2.5;1g;20,5;2,4;385,9;8642;98,7;1,0
2021;kujawsko-pomorskie;PL0403;miasto W?oc?awek;KpWloclGniaz;PM2.5;24g;20,3;1,8;105,3;363;99,5;1,0
2021;kujawsko-pomorskie;PL0403;miasto W?oc?awek;KpWloclOkrze;PM2.5;1g;21,2;3,8;158,7;8735;99,7;1,0
2021;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpGrudSienki;PM2.5;24g;18,6;1,0;128,1;365;100,0;1,0
2021;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpNaklWawrzy;PM2.5;1g;24,4;2,0;389,2;8406;96,0;1,1
2021;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpSolecRowecMOB;PM2.5;1g;20,9;2,3;425,5;8629;98,5;1,0
2021;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpZielBoryTu;PM2.5;24g;8,7;0,8;40,9;365;100,0;1,0
2021;lubelskie;PL0601;Aglomeracja Lubelska;LbLubObywate;PM2.5;1g;23,9;0,2;252,9;8726;99,6;1,0
2021;lubelskie;PL0601;Aglomeracja Lubelska;LbLubSliwins;PM2.5;24g;17,5;2,8;74,5;365;100,0;1,0
2021;lubelskie;PL0602;strefa lubelska;LbBiaPodOrze;PM2.5;24g;21,8;3,7;108,6;358;98,1;1,1
2021;lubelskie;PL0602;strefa lubelska;LbChelmPolan;PM2.5;24g;19,3;3,6;80,0;365;100,0;1,0
2021;lubelskie;PL0602;strefa lubelska;LbZamoHrubie;PM2.5;1g;19,1;2,1;245,8;8725;99,6;1,0
2021;lubelskie;PL0602;strefa lubelska;LbZamoHrubie;PM2.5;24g;20,1;3,8;86,5;365;100,0;1,0
2021;lubuskie;PL0801;miasto Gorzów Wielkopolski;LuGorzKosGdy;PM2.5;1g;16,8;0,6;202,8;8502;97,1;1,1
2021;lubuskie;PL0801;miasto Gorzów Wielkopolski;LuGorzPilsud;PM2.5;24g;15,3;2,4;68,2;365;100,0;1,0
2021;lubuskie;PL0802;miasto Zielona Góra;LuZielKrotka;PM2.5;1g;12,1;0,2;107,4;8657;98,8;1,0
2021;lubuskie;PL0802;miasto Zielona Góra;LuZielKrotka;PM2.5;24g;12,1;3,7;49,9;363;99,5;1,0
2021;lubuskie;PL0803;strefa lubuska;LuGubinAnderMOB;PM2.5;1g;16,8;0,5;293,2;8551;97,6;1,0
2021;lubuskie;PL0803;strefa lubuska;LuWsKaziWiel;PM2.5;1g;20,1;1,1;268,6;7882;90,0;1,3
2021;lubuskie;PL0803;strefa lubuska;LuZarySzyman;PM2.5;1g;14,4;0,1;213,2;8618;98,4;1,0
2021;?ódzkie;PL1001;Aglomeracja ?ódzka;LdLodzCzerni;PM2.5;1g;17,3;1,0;153,0;8677;99,1;1,0
2021;?ódzkie;PL1001;Aglomeracja ?ódzka;LdLodzCzerni;PM2.5;24g;18,8;3,6;96,2;364;99,7;1,0
2021;?ódzkie;PL1001;Aglomeracja ?ódzka;LdLodzLegion;PM2.5;24g;23,5;6,0;87,0;354;97,0;1,0
2021;?ódzkie;PL1001;Aglomeracja ?ódzka;LdZgieMielcz;PM2.5;1g;21,4;1,0;257,0;8268;94,4;1,0
2021;?ódzkie;PL1002;strefa ?ódzka;LdKutn1Maja7MOB;PM2.5;1g;20,4;1,0;244,0;8610;98,3;1,0
2021;?ódzkie;PL1002;strefa ?ódzka;LdLaskNarutoMOB;PM2.5;1g;24,4;1,5;448,8;8710;99,4;1,0
2021;?ódzkie;PL1002;strefa ?ódzka;LdPioTrKraPr;PM2.5;24g;25,2;2,9;109,3;363;99,5;1,0
2021;?ódzkie;PL1002;strefa ?ódzka;LdRadomsRoln;PM2.5;1g;27,4;1,2;379,0;8281;94,5;1,0
2021;ma?opolskie;PL1201;Aglomeracja Krakowska;MpKrakAlKras;PM2.5;1g;25,2;1,7;144,8;8738;99,7;1,0
2021;ma?opolskie;PL1201;Aglomeracja Krakowska;MpKrakBulwar;PM2.5;1g;24,8;1,1;171,6;8577;97,9;1,0
2021;ma?opolskie;PL1201;Aglomeracja Krakowska;MpKrakOsPias;PM2.5;24g;24,1;5,4;120,4;365;100,0;1,0
2021;ma?opolskie;PL1202;miasto Tarnów;MpTarBitStud;PM2.5;24g;21,3;4,3;84,1;365;100,0;1,0
2021;ma?opolskie;PL1202;miasto Tarnów;MpTarRoSitko;PM2.5;1g;23,1;1,0;280,2;8736;99,7;1,0
2021;ma?opolskie;PL1203;strefa ma?opolska;MpBochKonfed;PM2.5;24g;24,3;4,1;133,1;365;100,0;1,0
2021;ma?opolskie;PL1203;strefa ma?opolska;MpNoSaczNadb;PM2.5;24g;27,9;5,1;116,7;345;94,5;1,1
2021;ma?opolskie;PL1203;strefa ma?opolska;MpTrzebOsZWM;PM2.5;24g;21,4;5,4;94,0;364;99,7;1,0
2021;ma?opolskie;PL1203;strefa ma?opolska;MpZakopaSien;PM2.5;24g;19,6;3,7;109,9;363;99,5;1,0
2021;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarAlNiepo;PM2.5;1g;21,0;2,1;132,8;8695;99,3;1,0
2021;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarBajkowa;PM2.5;1g;19,0;0,1;253,8;8718;99,5;1,0
2021;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarChrosci;PM2.5;1g;17,5;0,0;129,9;8683;99,1;1,0
2021;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarTolstoj;PM2.5;1g;17,9;0,1;125,6;8756;100,0;1,0
2021;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarTolstoj;PM2.5;24g;17,7;3,2;95,4;337;92,3;1,0
2021;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarWokalna;PM2.5;1g;16,8;0,1;132,1;8371;95,6;0,9
2021;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarWokalna;PM2.5;24g;16,3;3,2;97,9;341;93,4;1,1
2021;mazowieckie;PL1402;miasto P?ock;MzPlocKroJad;PM2.5;24g;17,2;4,1;83,4;335;91,8;0,8
2021;mazowieckie;PL1402;miasto P?ock;MzPlocMiReja;PM2.5;1g;17,4;0,1;124,7;8683;99,1;1,0
2021;mazowieckie;PL1403;miasto Radom;MzRadHallera;PM2.5;24g;20,6;3,8;99,7;346;94,8;0,9
2021;mazowieckie;PL1403;miasto Radom;MzRadTochter;PM2.5;1g;21,0;0,1;257,1;8510;97,1;1,0
2021;mazowieckie;PL1404;strefa mazowiecka;MzGutyDuCzer;PM2.5;1g;13,1;0,0;135,5;7854;89,7;1,2
2021;mazowieckie;PL1404;strefa mazowiecka;MzKonJezWieMOB;PM2.5;1g;17,0;0,1;166,4;8531;97,4;1,0
2021;mazowieckie;PL1404;strefa mazowiecka;MzLegZegrzyn;PM2.5;1g;20,7;0,1;278,4;8239;94,1;1,1
2021;mazowieckie;PL1404;strefa mazowiecka;MzOtwoBrzozo;PM2.5;1g;21,1;0,0;312,9;8593;98,1;1,0
2021;mazowieckie;PL1404;strefa mazowiecka;MzPiasPulask;PM2.5;1g;19,5;0,1;168,4;8658;98,8;1,0
2021;mazowieckie;PL1404;strefa mazowiecka;MzSiedKonars;PM2.5;1g;19,7;0,1;256,6;8757;100,0;1,0
2021;mazowieckie;PL1404;strefa mazowiecka;MzSierWiosnyMOB;PM2.5;1g;22,2;2,5;380,3;8401;95,9;1,1
2021;mazowieckie;PL1404;strefa mazowiecka;MzZyraRoosev;PM2.5;1g;22,2;0,1;279,6;8658;98,8;1,0
2021;opolskie;PL1601;miasto Opole;OpOpoleKoszy;PM2.5;1g;16,4;1,1;181,3;8381;95,7;1,1
2021;opolskie;PL1601;miasto Opole;OpOpoleOsAKr;PM2.5;24g;19,1;2,5;82,1;339;92,9;1,1
2021;opolskie;PL1602;strefa opolska;OpBrzegPoprz;PM2.5;1g;19,0;1,3;210,6;8272;94,4;1,1
