Rok;Województwo;Kod strefy;Nazwa strefy;Kod stacji;Wska?nik;Czas u?redniania;?rednia;Min;Maks;Maks (S8max);Liczba pomiarów;Kompletno?? ;Liczba Lato/Zima;;;;;;
(-);(-);(-);(-);(-);(-);(-);[mg/m3];[mg/m3];[mg/m3];[mg/m3];(-);[%];(-);;;;;;
2004;?ódzkie;PL1001;Aglomeracja ?ódzka;LdZgieMielcz;CO;1g;0,7;0,0;6,5;3,64;8553;97,4;1,0;;;;;;
2004;?ódzkie;PL1002;strefa ?ódzka;LdPiotrkWIOSABelzack;CO;1g;0,7;0,3;3,4;2,23;2787;31,7;0,1;;;;;;
2004;ma?opolskie;PL1201;Aglomeracja Krakowska;MpKrakAlKras;CO;1g;1,5;0,2;8,5;6,18;5840;66,5;1,0;;;;;;
2004;ma?opolskie;PL1201;Aglomeracja Krakowska;MpKrakBulwar;CO;1g;0,7;0,0;4,7;3,58;6340;72,2;0,8;;;;;;
2004;ma?opolskie;PL1203;strefa ma?opolska;MpTrzebiWIOSPils0303;CO;1g;0,6;0,1;4,3;2,71;5275;60,1;1,0;;;;;;
2004;ma?opolskie;PL1203;strefa ma?opolska;MpZakopaSien;CO;1g;0,9;0,1;10,7;9,34;4759;54,2;0,7;;;;;;
2004;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarAlNiepo;CO;1g;1,3;0,0;10,0;6,15;8501;96,8;1,1;;;;;;
2004;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarKondrat;CO;1g;0,5;0,0;5,1;3,04;7690;87,5;0,9;;;;;;
2004;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarszKrucza;CO;1g;0,5;0,0;3,1;2,30;7842;89,3;1,0;;;;;;
2004;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarTolstoj;CO;1g;0,6;0,1;5,8;3,40;7216;82,1;0,9;;;;;;
2004;mazowieckie;PL1402;miasto P?ock;MzPlockPKN1;CO;1g;0,2;0,1;2,1;1,91;7602;86,5;0,8;;;;;;
2004;mazowieckie;PL1402;miasto P?ock;MzPlockPKN2;CO;1g;0,4;0,0;3,3;1,86;7435;84,6;0,9;;;;;;
2004;mazowieckie;PL1402;miasto P?ock;MzPlockPKN3;CO;1g;0,3;0,0;2,0;1,50;5600;63,8;0,6;;;;;;
2004;mazowieckie;PL1402;miasto P?ock;MzPlocKroJad;CO;1g;0,4;0,0;3,1;1,80;7283;82,9;0,9;;;;;;
2004;mazowieckie;PL1402;miasto P?ock;MzPlocMiReja;CO;1g;0,4;0,0;4,1;2,58;8513;96,9;1,0;;;;;;
2004;mazowieckie;PL1403;miasto Radom;MzRadTochter;CO;1g;0,5;0,1;6,4;4,34;8436;96,0;1,1;;;;;;
2004;mazowieckie;PL1404;strefa mazowiecka;MzBelsIGFPAN;CO;1g;0,3;0,0;1,7;1,42;8563;97,5;1,0;;;;;;
2004;mazowieckie;PL1404;strefa mazowiecka;MzZyraRoosev;CO;1g;0,4;0,0;5,3;4,07;8121;92,5;0,9;;;;;;
2004;opolskie;PL1602;strefa opolska;OpKkozleSP10;CO;1g;0,6;0,1;4,9;2,34;4448;50,6;0,9;;;;;;
2004;opolskie;PL1602;strefa opolska;OpKkozleSP3;CO;1g;0,6;0,2;3,2;2,32;4166;47,4;1,0;;;;;;
2004;opolskie;PL1602;strefa opolska;OpKkozleSP7;CO;1g;0,6;0,1;3,7;1,77;3737;42,5;0,9;;;;;;
2004;opolskie;PL1602;strefa opolska;OpSkozleSP5;CO;1g;0,6;0,0;3,2;2,33;3681;41,9;1,2;;;;;;
2004;podlaskie;PL2001;Aglomeracja Bia?ostocka;PdBialWaszyn;CO;1g;0,4;0,1;2,5;1,84;2918;33,2;0,3;;;;;;
2004;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaLeczk08;CO;1g;0,5;0,1;5,8;4,46;8635;98,3;1,0;;;;;;
2004;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaOstrz05;CO;1g;0,4;0,1;2,0;1,61;8395;95,6;1,0;;;;;;
2004;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdyPoreb04;CO;1g;0,3;0,1;1,8;1,37;8487;96,6;1,0;;;;;;
2004;pomorskie;PL2201;Aglomeracja Trójmiejska;PmSopBitPl06;CO;1g;0,3;0,1;2,3;2,02;8522;97,0;1,0;;;;;;
2004;?l?skie;PL2401;Aglomeracja Górno?l?ska;SlBytomByto_modrz;CO;1g;0,7;0,2;5,7;4,38;8195;93,3;1,2;;;;;;
